,total_ratings,total_ratings,total_ratings,unique_movies,unique_movies,unique_movies,avg_rating,avg_rating,avg_rating,std_rating,std_rating,std_rating,activity_days,activity_days,activity_days
,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
cluster_birch,,,,,,,,,,,,,,,
0,7.66,4.0,362538,7.65,4.0,362301,3.66,3.75,362058,0.89,0.84,278623,152.43,55.0,359631
1,19.02,14.0,49098,19.0,14.0,49372,3.42,3.42,49637,0.93,0.91,48776,966.87,949.0,51738
2,340.03,327.0,154,231.07,225.0,153,3.12,3.15,144,1.07,1.04,146,956.64,720.0,145
3,21.25,18.0,5051,20.98,18.0,5015,3.55,3.57,5002,0.95,0.93,4983,1845.48,1812.0,5327
