user_cluster,Old Classics,Well-Liked Niche Films,Controversial Films,Blockbusters,Popular Films,Hated Invisible Films
Consistent Enjoyers,0.04,0.033,0.194,0.305,0.428,0.001
Fan Visitors,0.026,0.043,0.128,0.522,0.279,0.001
One-Movie Critics,0.035,0.047,0.184,0.47,0.205,0.06
Loyal Occasional Enjoyers,0.04,0.031,0.182,0.365,0.379,0.002
Heavy Enthusiasts,0.081,0.042,0.339,0.163,0.372,0.002
Short-Term Users,0.025,0.029,0.133,0.477,0.335,0.001
