rating_year,0,1,2,3,4,5
1995,11,42,44,0,1,25
1996,11,36,38,0,0,34
1997,9,34,39,0,1,32
1998,70,108,127,0,0,97
1999,322,544,651,4,40,415
2000,1782,663,7063,6515,17336,514
2001,2849,1075,11637,19042,31394,676
2002,10460,3452,30842,57071,62690,850
2003,15667,9312,76861,97843,136561,1360
2004,43253,31298,206538,439664,435420,2402
2005,67024,74356,335708,720719,656395,3096
2006,31,138,121,0,1,86
