user_cluster,Old Classics,Well-Liked Niche Films,Controversial Films,Blockbusters,Popular Films,Hated Invisible Films
Consistent Enjoyers,3.69,3.77,3.43,3.76,3.6,2.22
Fan Visitors,4.46,4.48,4.47,4.44,4.45,2.38
One-Movie Critics,2.26,2.66,2.19,2.47,2.45,1.55
Loyal Occasional Enjoyers,3.57,3.77,3.25,3.72,3.51,1.88
Heavy Enthusiasts,3.43,3.53,3.1,3.67,3.4,2.05
Short-Term Users,3.64,3.77,3.39,3.67,3.59,1.95
